"X","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","language","collected","DOI_flag","database","source.app","rec.number","foreign.keys","ref.type","contributors","titles","periodical","pages","volume","number","dates","publisher","isbn","notes","urls","electronic.resource.num","pdfs","Country.1","Country.2","Country.3","Country.4","Country.5","Country.6","Country.7","Country.8"
17069,77,"PF Hudson","Event sequence and sediment exhaustion in the lower Panuco Basin, Mexico",2003,"CATENA",NA,NA,NA,2922,"8/10/2018","Journal article","10.1016/S0341-8162(02)00145-5",NA,NA,52,1,57,76,77,5.13,77,1,15,"english","in corpus","DOI present","english.enl","EndNote",12045,12045,17,"Hudson, P. F.","Event sequence and sediment exhaustion in the lower Panuco Basin, MexicoCATENA","CATENA","57-76",52,"1",2003,NA,NA,"Cited By (since 2003): 77","NAhttps://ac.els-cdn.com/S0341816202001455/1-s2.0-S0341816202001455-main.pdf?_tid=05747e73-e274-437f-a072-f763e38dd9b6&acdnat=1534103045_0335acf6c0c80fd1ee9f0c78277ff965internal-pdf://3553297740/Hudson-2003-Event sequence and sediment exhaus.pdf","10.1016/S0341-8162(02)00145-5","3553297740/Hudson-2003-Event sequence and sediment exhaus.pdf","Mexico","","","","","","",""
12230,35,"Z. Wan, Y. Zhang, Z.-L. Li, R. Wang, V.V. Salomonson, A. Yves, R. Bosseno, J.F. Hanocq","Preliminary estimate of calibration of the moderate resolution imaging spectroradiometer thermal infrared data using Lake Titicaca",2002,"Remote Sensing of Environment",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0036094213&partnerID=40&md5=498661da286f37e6e9ba2bff56ce6265",NA,12237,"8/10/2018","Article","10.1016/S0034-4257(01)00327-3",NA,NA,80,3,497,515,35,2.19,4,8,16,"english","in corpus","DOI present","english.enl","EndNote",27119,27119,2,"Wan, Z.Zhang, Y.Li, Z. L.Wang, R.Salomonson, V. V.Yves, A.Bosseno, R.Hanocq, J. F.","Preliminary estimate of calibration of the moderate resolution imaging spectroradiometer thermal infrared data using Lake Titicaca",NA,"497-515",NA,"Query date: 2018-08-10",2002,NA,NA,"80
Cited By (since 2002): 35","https://www.scopus.com/inward/record.url?eid=2-s2.0-0036094213&partnerID=40&md5=498661da286f37e6e9ba2bff56ce6265https://ac.els-cdn.com/S0034425701003273/1-s2.0-S0034425701003273-main.pdf?_tid=b8f0e8de-42b8-4988-882f-979298116cda&acdnat=1534220903_9b58963ce560def11ce9906e47ed2196internal-pdf://1765761396/Wan-2002-Preliminary estimate of calibration o.pdf","10.1016/S0034-4257(01)00327-3","1765761396/Wan-2002-Preliminary estimate of calibration o.pdf","Bolivia","Peru","","","","","",""
12725,35,"A. Hernandez-Guerra, T.M. Joyce","Water masses and circulation in the surface layers of the Caribbean at 66∞W",2000,"Geophysical Research Letters",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0034352512&partnerID=40&md5=af177de77402b4d19801061fe8e22638",NA,12732,"8/10/2018","Article","10.1029/1999GL011230",NA,NA,27,21,3497,3500,35,1.94,18,2,18,"english","in corpus","DOI present","english.enl","EndNote",27614,27614,2,"Hernandez-Guerra, A.Joyce, T. M.","Water masses and circulation in the surface layers of the Caribbean at 66∞W",NA,"3497-3500",NA,"Query date: 2018-08-10",2000,NA,NA,"27
Cited By (since 2000): 35","https://www.scopus.com/inward/record.url?eid=2-s2.0-0034352512&partnerID=40&md5=af177de77402b4d19801061fe8e22638https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/1999GL011230internal-pdf://2712049673/Hernandez-Guerr-2000-Water masses and circulat.pdf","10.1029/1999GL011230","2712049673/Hernandez-Guerr-2000-Water masses and circulat.pdf","Venezuela","","","","","","",""
14013,1,"Q. Lopez-Tirado, J.G.W. Jones","A simulation model to assess primary production and use of Bouteloua gracilis grasslands. Part I-Model structure and validation",1991,"Agricultural Systems",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0025693013&partnerID=40&md5=a0fbdc23522eb4dec3a772f293bc08b9",NA,14022,"8/10/2018","Article","10.1016/0308-521X(91)90086-P",NA,NA,35,2,189,208,1,0.04,1,2,27,"english","in corpus","DOI present","english.enl","EndNote",28902,28902,2,"Lopez-Tirado, Q.Jones, J. G. W.","A simulation model to assess primary production and use of Bouteloua gracilis grasslands. Part I-Model structure and validation",NA,"189-208",NA,"Query date: 2018-08-10",1991,NA,NA,"35
Cited By (since 1991): 1","https://www.scopus.com/inward/record.url?eid=2-s2.0-0025693013&partnerID=40&md5=a0fbdc23522eb4dec3a772f293bc08b9https://ac.els-cdn.com/0308521X9190086P/1-s2.0-0308521X9190086P-main.pdf?_tid=2ef4ccd6-c460-4352-9a26-8eee0fdca888&acdnat=1534114859_a0f944d32a25d71b9c29d6be2f5a2aa8internal-pdf://3571338115/Lopez-Tirado-1991-A simulation model to assess.pdf","10.1016/0308-521X(91)90086-P","3571338115/Lopez-Tirado-1991-A simulation model to assess.pdf","Mexico","","","","","","",""
3285,2,"M. Santema, A.J. Clarke, K. Speer, M. Huettel","Water column oxygen dynamics within the coastal gradient in the northeastern Gulf of Mexico inner shelf",2015,"Continental Shelf Research",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84934949314&partnerID=40&md5=016831c961930eac94fb2b5521b240ab",NA,3287,"8/10/2018","Article","10.1016/j.csr.2015.05.006",NA,NA,104,NA,104,119,2,0.67,1,4,3,"english","in corpus","DOI present","english.enl","EndNote",13442,13442,2,"Santema, M.Clarke, A. J.Speer, K.Huettel, M.","Water column oxygen dynamics within the coastal gradient in the northeastern Gulf of Mexico inner shelf",NA,"104-119",NA,"Query date: 2018-08-10",2015,NA,NA,"104
Cited By (since 2015): 2","https://www.scopus.com/inward/record.url?eid=2-s2.0-84934949314&partnerID=40&md5=016831c961930eac94fb2b5521b240abhttps://ac.els-cdn.com/S0278434315001375/1-s2.0-S0278434315001375-main.pdf?_tid=65e42bfe-33c2-432c-b966-0fa543b0baa2&acdnat=1534190626_00b7fa3ecc76c2825139a12f494a8afainternal-pdf://2941282850/Santema-2015-Water column oxygen dynamics with.pdf","10.1016/j.csr.2015.05.006","2941282850/Santema-2015-Water column oxygen dynamics with.pdf","Bolivia","","","","","","",""
12744,33,"L.D. Hylander, M. Meili, L.J. Oliveira, E. De Castro E Silva, J.R.D. Guimar„es, D.M. Araujo, R.P. Neves, R. Stachiw, A.J.P. Barros, G.D. Silva","Relationship of mercury with aluminum, iron and manganese oxy-hydroxides in sediments from the Alto Pantanal, Brazil",2000,"Science of the Total Environment",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0034626602&partnerID=40&md5=ece58f12235b2ae6c98f5784daf48d3f",NA,12751,"8/10/2018","Article","10.1016/S0048-9697(00)00544-1",NA,NA,260,1,97,107,33,1.83,3,10,18,"english","in corpus","DOI present","english.enl","EndNote",27633,27633,2,"Hylander, L. D.Meili, M.Oliveira, L. J.Silva, E. De Castro E.Guimar„es, J. R. D.Araujo, D. M.Neves, R. P.Stachiw, R.Barros, A. J. P.Silva, G. D.","Relationship of mercury with aluminum, iron and manganese oxy-hydroxides in sediments from the Alto Pantanal, Brazil",NA,"97-107",NA,"Query date: 2018-08-10",2000,NA,NA,"260
Cited By (since 2000): 33","https://www.scopus.com/inward/record.url?eid=2-s2.0-0034626602&partnerID=40&md5=ece58f12235b2ae6c98f5784daf48d3fhttps://ac.els-cdn.com/S0048969700005441/1-s2.0-S0048969700005441-main.pdf?_tid=ffc64d4e-ebcd-4e4a-ada7-af3e04da016d&acdnat=1534103412_75d42e44c88bd6627fc130a841e56d5finternal-pdf://2562956802/Hylander-2000-Relationship of mercury with alu.pdf","10.1016/S0048-9697(00)00544-1","2562956802/Hylander-2000-Relationship of mercury with alu.pdf","Brazil","","","","","","",""
1652,3,"A. Briones Hidrovo, J. Uche, A. MartÌnez-Gracia","Accounting for GHG net reservoir emissions of hydropower in Ecuador",2017,"Renewable Energy",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019841682&partnerID=40&md5=207bfd56acb35e8fd150d4fa399f6710",NA,1652,"8/10/2018","Article","10.1016/j.renene.2017.05.047",NA,NA,112,NA,209,221,3,3,1,3,1,"english","in corpus","DOI present","english.enl","EndNote",7165,7165,2,"Hidrovo, A. BrionesUche, J.MartÌnez-Gracia, A.","Accounting for GHG net reservoir emissions of hydropower in Ecuador",NA,"209-221",NA,"Query date: 2018-08-10",2017,NA,NA,"112
Cited By (since 2017): 3","https://www.scopus.com/inward/record.url?eid=2-s2.0-85019841682&partnerID=40&md5=207bfd56acb35e8fd150d4fa399f6710https://ac.els-cdn.com/S0960148117304317/1-s2.0-S0960148117304317-main.pdf?_tid=7c7e5dd6-16c3-4e6b-9909-b5748d8781e3&acdnat=1534101647_46a866f97b91aab1bea2b5b9f05aa027internal-pdf://0600551903/Hidrovo-2017-Accounting for GHG net reservoir.pdf","10.1016/j.renene.2017.05.047","0600551903/Hidrovo-2017-Accounting for GHG net reservoir.pdf","Ecuador","","","","","","",""
26661,17,"M. K. V. Carr","THE WATER RELATIONS AND IRRIGATION REQUIREMENTS OF COCONUT (Cocos nucifera): A REVIEW",2011,"EXPERIMENTAL AGRICULTURE",NA,NA,NA,3134,"8/10/2018","Journal article","10.1017/S0014479710000931",NA,NA,47,1,27,51,17,2.43,17,1,7,"english","in corpus","DOI present","english.enl","EndNote",12862,12862,17,"Carr, M. K. V.","THE WATER RELATIONS AND IRRIGATION REQUIREMENTS OF COCONUT (Cocos nucifera): A REVIEWEXPERIMENTAL AGRICULTURE","EXPERIMENTAL AGRICULTURE","27-51",47,"1",2011,NA,NA,"Cited By (since 2011): 17","NAhttps://www.cambridge.org/core/services/aop-cambridge-core/content/view/E760D2AFF19FBC99F04D61CC051966BB/S0014479710000931a.pdf/div-class-title-the-water-relations-and-irrigation-requirements-of-coconut-span-class-italic-cocos-nucifera-span-a-review-div.pdfinternal-pdf://1490872838/Carr-2011-THE WATER RELATIONS AND IRRIGATION R.pdf","10.1017/S0014479710000931","1490872838/Carr-2011-THE WATER RELATIONS AND IRRIGATION R.pdf","Bolivia","","","","","","",""
14986,5,"Rodrigo Pardo, Irma Vila, Ramiro Bustamante","Demographic response of Stratiodrilus aeglaphilus (Anelida, Histriobdellidae) to organic enrichment: experimental assessment",2008,"HYDROBIOLOGIA",NA,NA,NA,584,"8/10/2018","Journal article","10.1007/s10750-007-9136-8",NA,NA,598,NA,11,16,5,0.5,2,3,10,"english","in corpus","DOI present","english.enl","EndNote",2881,2881,17,"Pardo, RodrigoVila, IrmaBustamante, Ramiro","Demographic response of Stratiodrilus aeglaphilus (Anelida, Histriobdellidae) to organic enrichment: experimental assessmentHYDROBIOLOGIA","HYDROBIOLOGIA","11-16",598,NA,2008,NA,NA,"Cited By (since 2008): 5","NAhttps://link.springer.com/content/pdf/10.1007%2Fs10750-007-9136-8.pdfinternal-pdf://1555703451/Pardo-2008-Demographic response of Stratiodril.pdf","10.1007/s10750-007-9136-8","1555703451/Pardo-2008-Demographic response of Stratiodril.pdf","Chile","","","","","","",""
6346,7,"D.O. Delfino, M.D. Wanderley, L.H. Silva e Silva, F. Feder, F.A.S. Lopes","Sedimentology and temporal distribution of microbial mats from Brejo do Espinho, Rio de Janeiro, Brazil",2012,"Sedimentary Geology",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84861222597&partnerID=40&md5=48f66afc4069e2d13a216118223493c6",NA,6351,"8/10/2018","Article","10.1016/j.sedgeo.2011.08.009",NA,NA,263,NA,85,95,7,1.17,1,5,6,"english","in corpus","DOI present","english.enl","EndNote",21235,21235,2,"Delfino, D. O.Wanderley, M. D.Silva, L. H. Silva eFeder, F.Lopes, F. A. S.","Sedimentology and temporal distribution of microbial mats from Brejo do Espinho, Rio de Janeiro, Brazil",NA,"85-95",NA,"Query date: 2018-08-10",2012,NA,NA,"263
Cited By (since 2012): 7","https://www.scopus.com/inward/record.url?eid=2-s2.0-84861222597&partnerID=40&md5=48f66afc4069e2d13a216118223493c6https://ac.els-cdn.com/S0037073811002302/1-s2.0-S0037073811002302-main.pdf?_tid=82702308-6b81-4eaf-9b10-e728292d2ead&acdnat=1534033692_d35444eb96c025f81d548a2f286d4a82internal-pdf://2912800148/Delfino-2012-Sedimentology and temporal distri.pdf","10.1016/j.sedgeo.2011.08.009","2912800148/Delfino-2012-Sedimentology and temporal distri.pdf","Brazil","","","","","","",""
15787,6,"Frank Triska, Catherine M. Pringle, John H. Duff, Ronald J. Avanzino, Gary Zellweger","Soluble reactive phosphorus (SRP) transport and retention in tropical, rain forest streams draining a volcanic landscape in Costa Rica: in situ SRP amendment to streams and laboratory studies",2006,"BIOGEOCHEMISTRY",NA,NA,NA,1476,"8/10/2018","Journal article","10.1007/s10533-006-9048-0",NA,NA,81,2,145,157,6,0.5,1,5,12,"english","in corpus","DOI present","english.enl","EndNote",6455,6455,17,"Triska, FrankPringle, Catherine M.Duff, John H.Avanzino, Ronald J.Zellweger, Gary","Soluble reactive phosphorus (SRP) transport and retention in tropical, rain forest streams draining a volcanic landscape in Costa Rica: in situ SRP amendment to streams and laboratory studiesBIOGEOCHEMISTRY","BIOGEOCHEMISTRY","145-157",81,"2",2006,NA,NA,"Cited By (since 2006): 6","NAhttps://link.springer.com/content/pdf/10.1007%2Fs10533-006-9048-0.pdfinternal-pdf://0066111362/Triska-2006-Soluble reactive phosphorus (SRP).pdf","10.1007/s10533-006-9048-0","0066111362/Triska-2006-Soluble reactive phosphorus (SRP).pdf","Costa Rica","","","","","","",""
6876,40,"S. Gascoin, C. Kinnard, R. Ponce, S. Lhermitte, S. MacDonell, A. Rabatel","Glacier contribution to streamflow in two headwaters of the Huasco River, Dry Andes of Chile",2011,"Cryosphere",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84858637546&partnerID=40&md5=a93512e93deabbffcd34f80a6ae177a4",NA,6881,"8/10/2018","Article","10.5194/tc-5-1099-2011",NA,NA,5,4,1099,1113,40,5.71,7,6,7,"english","in corpus","DOI present","english.enl","EndNote",21765,21765,2,"Gascoin, S.Kinnard, C.Ponce, R.Lhermitte, S.MacDonell, S.Rabatel, A.","Glacier contribution to streamflow in two headwaters of the Huasco River, Dry Andes of Chile",NA,"1099-1113",NA,"Query date: 2018-08-10",2011,NA,NA,"5
Cited By (since 2011): 40","https://www.scopus.com/inward/record.url?eid=2-s2.0-84858637546&partnerID=40&md5=a93512e93deabbffcd34f80a6ae177a4https://www.the-cryosphere.net/5/1099/2011/tc-5-1099-2011.pdfinternal-pdf://3736060815/Gascoin-2011-Glacier contribution to streamflo.pdf","10.5194/tc-5-1099-2011","3736060815/Gascoin-2011-Glacier contribution to streamflo.pdf","Chile","","","","","","",""
10956,2,"R.G. Sastry, H.G. Tesfakiros","Neural network based automated interpretation algorithm for combined geophysical soundings in coastal zones",2006,"Environmental Monitoring and Assessment",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-33745959616&partnerID=40&md5=edc68f7ddb6289896fd4e4e384da31de",NA,10962,"8/10/2018","Article","10.1007/s10661-006-6551-7",NA,NA,115,1,175,204,2,0.17,1,2,12,"english","in corpus","DOI present","english.enl","EndNote",25845,25845,2,"Sastry, R. G.Tesfakiros, H. G.","Neural network based automated interpretation algorithm for combined geophysical soundings in coastal zones",NA,"175-204",NA,"Query date: 2018-08-10",2006,NA,NA,"115
Cited By (since 2006): 2","https://www.scopus.com/inward/record.url?eid=2-s2.0-33745959616&partnerID=40&md5=edc68f7ddb6289896fd4e4e384da31dehttps://link.springer.com/content/pdf/10.1007%2Fs10661-006-6551-7.pdfinternal-pdf://3816863654/Sastry-2006-Neural network based automated int.pdf","10.1007/s10661-006-6551-7","3816863654/Sastry-2006-Neural network based automated int.pdf","Brazil","","","","","","",""
28761,3,"Brioch Hemmings, Daren Gooddy, Fiona Whitaker, W. George Darling, Alia Jasim, Joachim Gottsmanna","Groundwater recharge and flow on Montserrat, West Indies: Insights from groundwater dating",2015,"JOURNAL OF HYDROLOGY-REGIONAL STUDIES",NA,NA,NA,1167,"8/10/2018","Journal article","10.1016/j.ejrh.2015.08.003",NA,NA,4,NA,611,622,3,1,1,6,3,"english","in corpus","DOI present","english.enl","EndNote",5226,5226,17,"Hemmings, BriochGooddy, DarenWhitaker, FionaDarling, W. GeorgeJasim, AliaGottsmanna, Joachim","Groundwater recharge and flow on Montserrat, West Indies: Insights from groundwater datingJOURNAL OF HYDROLOGY-REGIONAL STUDIES","JOURNAL OF HYDROLOGY-REGIONAL STUDIES","611-622",4,NA,2015,NA,NA,"Cited By (since 2015): 3","NAhttps://ac.els-cdn.com/S221458181500097X/1-s2.0-S221458181500097X-main.pdf?_tid=29ca0e2e-2fdd-4b5a-b20d-0166964fd911&acdnat=1534100968_f693eba5e72b1c999caf19d39b16fd95internal-pdf://3044759268/Hemmings-2015-Groundwater recharge and flow on.pdf","10.1016/j.ejrh.2015.08.003","3044759268/Hemmings-2015-Groundwater recharge and flow on.pdf","0","","","","","","",""
26414,52,"Luke P. Shoo, Deanna H. Olson, Sarah K. McMenamin, Kris A. Murray, Monique Van Sluys, Maureen A. Donnelly, Danial Stratford, Juhani Terhivuo, Andres Merino-Viteri, Sarah M. Herbert, Phillip J. Bishop, Paul Stephen Corn, Liz Dovey, Richard A. Griffiths, Katrin Lowe, Michael Mahony, Hamish McCallum, Jonathan D. Shuker, Clay Simpkins, Lee F. Skerratt, Stephen E. Williams, Jean-Marc Hero","Engineering a future for amphibians under climate change",2011,"JOURNAL OF APPLIED ECOLOGY",NA,NA,NA,2853,"8/10/2018","Journal article","10.1111/j.1365-2664.2010.01942.x",NA,NA,48,2,487,492,52,7.43,2,22,7,"english","in corpus","DOI present","english.enl","EndNote",11785,11785,17,"Shoo, Luke P.Olson, Deanna H.McMenamin, Sarah K.Murray, Kris A.Sluys, Monique VanDonnelly, Maureen A.Stratford, DanialTerhivuo, JuhaniMerino-Viteri, AndresHerbert, Sarah M.Bishop, Phillip J.Corn, Paul StephenDovey, LizGriffiths, Richard A.Lowe, KatrinMahony, MichaelMcCallum, HamishShuker, Jonathan D.Simpkins, ClaySkerratt, Lee F.Williams, Stephen E.Hero, Jean-Marc","Engineering a future for amphibians under climate changeJOURNAL OF APPLIED ECOLOGY","JOURNAL OF APPLIED ECOLOGY","487-492",48,"2",2011,NA,NA,"Cited By (since 2011): 52","NAhttps://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2664.2010.01942.xinternal-pdf://0606085238/Shoo-2011-Engineering a future for amphibians.pdf","10.1111/j.1365-2664.2010.01942.x","0606085238/Shoo-2011-Engineering a future for amphibians.pdf","Bolivia","","","","","","",""
14859,128,"Sven Wunder, Montserrat Alban","Decentralized payments for environmental services: The cases of Pimampiro and PROFAFOR in Ecuador",2008,"ECOLOGICAL ECONOMICS",NA,NA,NA,433,"8/10/2018","Journal article","10.1016/j.ecolecon.2007.11.004",NA,NA,65,4,685,698,128,12.8,64,2,10,"english","in corpus","DOI present","english.enl","EndNote",2204,2204,17,"Wunder, SvenAlban, Montserrat","Decentralized payments for environmental services: The cases of Pimampiro and PROFAFOR in EcuadorECOLOGICAL ECONOMICS","ECOLOGICAL ECONOMICS","685-698",65,"4",2008,NA,NA,"Cited By (since 2008): 128","NAhttps://ac.els-cdn.com/S0921800907005320/1-s2.0-S0921800907005320-main.pdf?_tid=5047f3fb-afc9-4794-b9cb-3fcbd852cba6&acdnat=1534222087_d1ca1c271c76e4ddc77719490e6c3b65internal-pdf://2156098618/Wunder-2008-Decentralized payments for environ.pdf","10.1016/j.ecolecon.2007.11.004","2156098618/Wunder-2008-Decentralized payments for environ.pdf","Ecuador","","","","","","",""
18087,0,"M Wada, LJCB Carvalho, GC Rodrigues, R Ishii","Yield response of spring wheat cultivars at different irrigation rates",1997,"JAPANESE JOURNAL OF CROP SCIENCE",NA,NA,NA,4123,"8/10/2018","Journal article","10.1626/jcs.66.92",NA,NA,66,1,92,99,0,0,0,4,21,"english","in corpus","DOI present","english.enl","EndNote",16572,16572,17,"Wada, M.Carvalho, LjcbRodrigues, G. C.Ishii, R.","Yield response of spring wheat cultivars at different irrigation ratesJAPANESE JOURNAL OF CROP SCIENCE","JAPANESE JOURNAL OF CROP SCIENCE","92-99",66,"1",1997,NA,NA,NA,"NAhttps://www.jstage.jst.go.jp/article/jcs1927/66/1/66_1_92/_pdfinternal-pdf://0788996488/Wada-1997-Yield response of spring wheat culti.pdf","10.1626/jcs.66.92","0788996488/Wada-1997-Yield response of spring wheat culti.pdf","Brazil","","","","","","",""
27525,26,"R. Rojas, O. Batelaan, L. Feyen, A. Dassargues","Assessment of conceptual model uncertainty for the regional aquifer Pampa del Tamarugal - North Chile",2010,"HYDROLOGY AND EARTH SYSTEM SCIENCES",NA,NA,NA,4120,"8/10/2018","Journal article","10.5194/hess-14-171-2010",NA,NA,14,2,171,192,26,3.25,7,4,8,"english","in corpus","DOI present","english.enl","EndNote",16563,16563,17,"Rojas, R.Batelaan, O.Feyen, L.Dassargues, A.","Assessment of conceptual model uncertainty for the regional aquifer Pampa del Tamarugal - North ChileHYDROLOGY AND EARTH SYSTEM SCIENCES","HYDROLOGY AND EARTH SYSTEM SCIENCES","171-192",14,"2",2010,NA,NA,"Cited By (since 2010): 26","NAhttps://www.hydrol-earth-syst-sci.net/14/171/2010/hess-14-171-2010.pdfinternal-pdf://4073352649/Rojas-2010-Assessment of conceptual model unce.pdf","10.5194/hess-14-171-2010","4073352649/Rojas-2010-Assessment of conceptual model unce.pdf","Chile","","","","","","",""
12252,35,"D.V. Malmon, T. Dunne, S.L. Reneau","Predicting the fate of sediment and pollutants in river floodplains",2002,"Environmental Science and Technology",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0036569890&partnerID=40&md5=33f5cfc0bd0ac1c2d1102dce3cea81d1",NA,12259,"8/10/2018","Article","10.1021/es010509+",NA,NA,36,9,2026,2032,35,2.19,12,3,16,"english","in corpus","DOI present","english.enl","EndNote",27141,27141,2,"Malmon, D. V.Dunne, T.Reneau, S. L.","Predicting the fate of sediment and pollutants in river floodplains",NA,"2026-2032",NA,"Query date: 2018-08-10",2002,NA,NA,"36
Cited By (since 2002): 35","https://www.scopus.com/inward/record.url?eid=2-s2.0-0036569890&partnerID=40&md5=33f5cfc0bd0ac1c2d1102dce3cea81d1https://pubs.acs.org/doi/pdfplus/10.1021/es010509%2Binternal-pdf://3130123667/Malmon-2002-Predicting the fate of sediment an.pdf","10.1021/es010509+","3130123667/Malmon-2002-Predicting the fate of sediment an.pdf","Bolivia","","","","","","",""
25999,12,"Davi Gasparini Fernandes Cunha, Maria do Carmo Calijuri","Seasonal variation of phytoplankton functional groups in the arms of a tropical reservoir with multiple uses (SP, Brazil)",2011,"ACTA BOTANICA BRASILICA",NA,NA,NA,2370,"8/10/2018","Journal article","10.1590/S0102-33062011000400009",NA,NA,25,4,822,831,12,1.71,6,2,7,"english","in corpus","DOI present","english.enl","EndNote",9941,9941,17,"Cunha, Davi Gasparini FernandesCalijuri, Maria do Carmo","Seasonal variation of phytoplankton functional groups in the arms of a tropical reservoir with multiple uses (SP, Brazil)ACTA BOTANICA BRASILICA","ACTA BOTANICA BRASILICA","822-831",25,"4",2011,NA,NA,"Cited By (since 2011): 12","NAhttp://www.scielo.br/pdf/abb/v25n4/09.pdfinternal-pdf://2475146388/Cunha-2011-Seasonal variation of phytoplankton.pdf","10.1590/S0102-33062011000400009","2475146388/Cunha-2011-Seasonal variation of phytoplankton.pdf","Bolivia","","","","","","",""
12770,16,"M.P. Verma","Chemical thermodynamics of silica: A critique on its geothermometer",2000,"Geothermics",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-0034214072&partnerID=40&md5=d1eb6e4f44c2799674a17614b20e8ff2",NA,12777,"8/10/2018","Article","10.1016/S0375-6505(99)00064-4",NA,NA,29,3,323,346,16,0.89,16,1,18,"english","in corpus","DOI present","english.enl","EndNote",27659,27659,2,"Verma, M. P.","Chemical thermodynamics of silica: A critique on its geothermometer",NA,"323-346",NA,"Query date: 2018-08-10",2000,NA,NA,"29
Cited By (since 2000): 16","https://www.scopus.com/inward/record.url?eid=2-s2.0-0034214072&partnerID=40&md5=d1eb6e4f44c2799674a17614b20e8ff2https://ac.els-cdn.com/S0375650599000644/1-s2.0-S0375650599000644-main.pdf?_tid=9b5e608b-77e0-4b51-8d55-ad510baedf8a&acdnat=1534207798_51d552e3462258964369869425844bb4internal-pdf://0015035091/Verma-2000-Chemical thermodynamics of silica_.pdf","10.1016/S0375-6505(99)00064-4","0015035091/Verma-2000-Chemical thermodynamics of silica_.pdf","Mexico","","","","","","",""
16355,44,"A Gardel, N Gratiot","A satellite image-based method for estimating rates of mud bank migration, French Guiana, South America",2005,"JOURNAL OF COASTAL RESEARCH",NA,NA,NA,2116,"8/10/2018","Journal article","10.2112/03-0100.1",NA,NA,21,4,720,728,44,3.38,22,2,13,"english","in corpus","DOI present","english.enl","EndNote",8963,8963,17,"Gardel, A.Gratiot, N.","A satellite image-based method for estimating rates of mud bank migration, French Guiana, South AmericaJOURNAL OF COASTAL RESEARCH","JOURNAL OF COASTAL RESEARCH","720-728",21,"4",2005,NA,NA,"Cited By (since 2005): 44","NAhttp://www.bioone.org/doi/pdf/10.2112/03-0100.1internal-pdf://3155536187/Gardel-2005-A satellite image-based method for.pdf","10.2112/03-0100.1","3155536187/Gardel-2005-A satellite image-based method for.pdf","0","","","","","","",""
434,0,"T.L. Blythe, J.C. Schmidt","Estimating the Natural Flow Regime of Rivers With Long-Standing Development: The Northern Branch of the Rio Grande",2018,"Water Resources Research",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85042379050&partnerID=40&md5=cc6327dd87612f4654370a7cee60b97f",NA,434,"8/10/2018","Article","10.1002/2017WR021919",NA,NA,54,2,1212,1236,0,0,0,2,1,"english","in corpus","DOI present","english.enl","EndNote",2212,2212,2,"Blythe, T. L.Schmidt, J. C.","Estimating the Natural Flow Regime of Rivers With Long-Standing Development: The Northern Branch of the Rio Grande",NA,"1212-1236",NA,"Query date: 2018-08-10",2018,NA,NA,"54","https://www.scopus.com/inward/record.url?eid=2-s2.0-85042379050&partnerID=40&md5=cc6327dd87612f4654370a7cee60b97fhttps://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2017WR021919internal-pdf://0101401245/Blythe-2018-Estimating the Natural Flow Regime.pdf","10.1002/2017WR021919","0101401245/Blythe-2018-Estimating the Natural Flow Regime.pdf","Mexico","","","","","","",""
434,0,"T.L. Blythe, J.C. Schmidt","Estimating the Natural Flow Regime of Rivers With Long-Standing Development: The Northern Branch of the Rio Grande",2018,"Water Resources Research",NA,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85042379050&partnerID=40&md5=cc6327dd87612f4654370a7cee60b97f",NA,434,"8/10/2018","Article","10.1002/2017WR021919",NA,NA,54,2,1212,1236,0,0,0,2,1,"english","in corpus","DOI present","english.enl","EndNote",2212,2212,2,"Blythe, T. L.Schmidt, J. C.","Estimating the Natural Flow Regime of Rivers With Long-Standing Development: The Northern Branch of the Rio Grande",NA,"1212-1236",NA,"Query date: 2018-08-10",2018,NA,NA,"54","https://www.scopus.com/inward/record.url?eid=2-s2.0-85042379050&partnerID=40&md5=cc6327dd87612f4654370a7cee60b97fhttps://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2017WR021919internal-pdf://0101401245/Blythe-2018-Estimating the Natural Flow Regime.pdf","10.1002/2017WR021919","0101401245/Blythe-2018-Estimating the Natural Flow Regime.pdf","Bolivia","","","","","","",""
