"","Cites","Authors","Title","Year","Source","Publisher","ArticleURL","CitesURL","GSRank","QueryDate","Type","DOI","ISSN","CitationURL","Volume","Issue","StartPage","EndPage","ECC","CitesPerYear","CitesPerAuthor","AuthorCount","Age","language","collected","DOI_flag","database","source-app","rec-number","foreign-keys","ref-type","contributors","titles","pages","number","dates","publisher","isbn","urls","notes","periodical","volume","electronic-resource-num","pdfs"
"822",8,"M. Coll, A.C. Fonseca, J. CortÈs","El manglar y otras asociaciones vegetales de la laguna de Gandoca, LimÛn, Costa Rica",2001,"Revista de Biologia Tropical",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-14044267487&partnerID=40&md5=bbb7a569f53cbd27e253a8af89a6e1ec",NA,822,"8/10/2018","Article","",NA,NA,49,NA,321,329,8,0.47,3,3,17,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1216","12160","2","Coll, M.Fonseca, A. C.CortÈs, J.","El manglar y otras asociaciones vegetales de la laguna de Gandoca, LimÛn, Costa Rica","321-329","Query date: 2018-08-10",2001,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-14044267487&partnerID=40&md5=bbb7a569f53cbd27e253a8af89a6e1ec","49Cited By (since 2001): 8",NA,NA,NA,"manual_download_spanish/330/26338-69303-1-SM.pdf"
"373",1,"L. Coltrinari","Paleosurfaces in southeastern Brazil: S„o josÈ dos campos plateau landform evolution [PaleosuperfÌcies no Brasil se: EvoluÁ„o do relevo no planalto de s„o josÈ dos campos]",2011,"Geociencias",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955933914&partnerID=40&md5=77a01296afb8c20cd93253845ba2ef1e",NA,373,"8/10/2018","Article","",NA,NA,30,1,113,120,1,0.14,1,1,7,"spanish","in corpus","DOI absent","spanish.enl","EndNote","767","7670","2","Coltrinari, L.","Paleosurfaces in southeastern Brazil: S„o josÈ dos campos plateau landform evolution [PaleosuperfÌcies no Brasil se: EvoluÁ„o do relevo no planalto de s„o josÈ dos campos]","113-120","Query date: 2018-08-10",2011,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955933914&partnerID=40&md5=77a01296afb8c20cd93253845ba2ef1e","30Cited By (since 2011): 1",NA,NA,NA,"manual_download_spanish/331/Art 10_Coltrinari.pdf"
"1267",9,"Rosa Hilda Compagnucci, Diego Christian Araneo","El Nino as a predictor of argentine Andean riverflows",2007,"INGENIERIA HIDRAULICA EN MEXICO",NA,NA,NA,240,"8/10/2018","Journal article","",NA,NA,22,3,23,35,9,0.82,5,2,11,"spanish","in corpus","DOI absent","spanish.enl","EndNote","539","5390","17","Compagnucci, Rosa HildaAraneo, Diego Christian","El Nino as a predictor of argentine Andean riverflowsINGENIERIA HIDRAULICA EN MEXICO","23-35","3",2007,"NA","NA","NA","Cited By (since 2007): 9","INGENIERIA HIDRAULICA EN MEXICO","22",NA,"manual_download_spanish/332/Compagnucci_Araneo_2007RIHM.pdf"
"609",15,"R.H. Compagnucci, D.C. Araneo","El NiÒo as a predictor of Argentine Andean riverflows [Alcances de El NiÒo como predictor del caudal de los rÌos andinos Argentinos]",2007,"Ingenieria Hidraulica en Mexico",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548108356&partnerID=40&md5=f9ecb7955c34eccc11c0fee592f811fc",NA,609,"8/10/2018","Article","",NA,NA,22,3,23,35,15,1.36,8,2,11,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1003","10030","2","Compagnucci, R. H.Araneo, D. C.","El NiÒo as a predictor of Argentine Andean riverflows [Alcances de El NiÒo como predictor del caudal de los rÌos andinos Argentinos]","23-35","Query date: 2018-08-10",2007,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548108356&partnerID=40&md5=f9ecb7955c34eccc11c0fee592f811fc","22Cited By (since 2007): 15",NA,NA,NA,"manual_download_spanish/333/333.pdf"
"1377",0,"Alfredo Consta√≠n, Jorge Corredor","Universality of State Functions that Guide the Dynamics of Solutes in Natural Rivers in ""Dynamic Equilibrium"": A New Method using Tracers to Calculate Slope",2016,"Tecnolog√≠a y ciencias del agua",NA,NA,NA,35,"8/10/2018","Journal article","",NA,NA,7,1,89,105,0,0,0,2,2,"spanish","in corpus","DOI absent","spanish.enl","EndNote","94","940","17","Consta√≠n, AlfredoCorredor, Jorge","Universality of State Functions that Guide the Dynamics of Solutes in Natural Rivers in ""Dynamic Equilibrium"": A New Method using Tracers to Calculate SlopeTecnolog√≠a y ciencias del agua","89-105","1",2016,"NA","NA","NA",NA,"Tecnolog√≠a y ciencias del agua","7",NA,"manual_download_spanish/334/out.pdf"
"1110",0,"Alfredo Constain, Jorge Corredor","The Universality of State Functions that Guide the Dynamics of Solutes in Natural Rivers in ""Dynamic Equilibrium"": A New Method using Tracers to Calculate Slope.",2016,"TECNOLOGIA Y CIENCIAS DEL AGUA",NA,NA,NA,83,"8/10/2018","Journal article","",NA,NA,7,1,89,105,0,0,0,2,2,"spanish","in corpus","DOI absent","spanish.enl","EndNote","206","2060","17","Constain, AlfredoCorredor, Jorge","The Universality of State Functions that Guide the Dynamics of Solutes in Natural Rivers in ""Dynamic Equilibrium"": A New Method using Tracers to Calculate SlopeTECNOLOGIA Y CIENCIAS DEL AGUA","89-105","1",2016,"NA","NA","NA",NA,"TECNOLOGIA Y CIENCIAS DEL AGUA","7",NA,"manual_download_spanish/335/2007-2422-tca-7-01-00089.pdf"
"99",0,"A. ConstaÌn, J. Corredor","The universality of state functions that guide the dynamics of solutes in natural rivers in ""dynamic equilibrium"": A new method using tracers to calculate slope [Universalidad de la funciÛn de estado que guÌa la din·mica de los solutos en los cauces naturales en ""equilibrio din·mico"": Un nuevo mÈtodo de c·lculo de la pendiente mediante trazadores]",2016,"Tecnologia y Ciencias del Agua",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030468662&partnerID=40&md5=bfe943f95ca93aac1b66ad7de2425535",NA,99,"8/10/2018","Article","",NA,NA,7,1,89,105,0,0,0,2,2,"spanish","in corpus","DOI absent","spanish.enl","EndNote","242","2420","2","ConstaÌn, A.Corredor, J.","The universality of state functions that guide the dynamics of solutes in natural rivers in ""dynamic equilibrium"": A new method using tracers to calculate slope [Universalidad de la funciÛn de estado que guÌa la din·mica de los solutos en los cauces naturales en ""equilibrio din·mico"": Un nuevo mÈtodo de c·lculo de la pendiente mediante trazadores]","89-105","Query date: 2018-08-10",2016,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030468662&partnerID=40&md5=bfe943f95ca93aac1b66ad7de2425535","7",NA,NA,NA,"manual_download_spanish/336/2007-2422-tca-7-01-00089.pdf"
"1167",0,"Alfredo Constain-Aragon, Pedro Villa, Guillermo Andres Bastidas","New method to determine mixing length in turbulent flows",2013,"TECNOLOGIA Y CIENCIAS DEL AGUA",NA,NA,NA,140,"8/10/2018","Journal article","",NA,NA,4,4,63,76,0,0,0,3,5,"spanish","absent from corpus","DOI absent","spanish.enl","EndNote","338","3380","17","Constain-Aragon, AlfredoVilla, PedroBastidas, Guillermo Andres","New method to determine mixing length in turbulent flowsTECNOLOGIA Y CIENCIAS DEL AGUA","63-76","4",2013,"NA","NA","NA",NA,"TECNOLOGIA Y CIENCIAS DEL AGUA","4",NA,NA
"259",0,"A. Constain-AragÛn, P. Villa, G.A. Bastidas","New method to determine mixing length in turbulent flows [Nuevo mÈtodo para determinar la longitud de mezcla en flujos turbulentos]",2013,"Tecnologia y Ciencias del Agua",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902124020&partnerID=40&md5=74f112bfaa1c48060a864fbf135ac7d6",NA,259,"8/10/2018","Article","",NA,NA,4,4,63,76,0,0,0,3,5,"spanish","in corpus","DOI absent","spanish.enl","EndNote","577","5770","2","Constain-AragÛn, A.Villa, P.Bastidas, G. A.","New method to determine mixing length in turbulent flows [Nuevo mÈtodo para determinar la longitud de mezcla en flujos turbulentos]","63-76","Query date: 2018-08-10",2013,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902124020&partnerID=40&md5=74f112bfaa1c48060a864fbf135ac7d6","4",NA,NA,NA,"manual_download_spanish/338/v4n4a4.pdf"
"1025",2,"Luisa Conticello, Beatriz Cerazo, Adriana Bustamante","Dynamics of hydrophylous communities asociated with drainage channels in the alto valle of rio negro (argentina)",2002,"Gayana Botanica",NA,NA,NA,8,"8/10/2018","Journal article",NA,NA,NA,59,1,13,20,2,0.13,1,3,16,"spanish","in corpus","DOI present","spanish.enl","EndNote","27","270","17","Conticello, LuisaCerazo, BeatrizBustamante, Adriana","Dynamics of hydrophylous communities asociated with drainage channels in the alto valle of rio negro (argentina)Gayana Botanica","13-20","1",2002,"NA","NA","NA","Cited By (since 2002): 2","Gayana Botanica","59","NA","manual_download_spanish/339/art03.pdf"
"946",9,"E. Francisco Contreras, L.O. CastaÒeda, R. Torres-Alvarado, M.F. GutiÈrrez","Nutrientes en 39 lagunas costeras mexicanas",1996,"Revista de Biologia Tropical",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030202433&partnerID=40&md5=6215ac15dce92c565640ec9bc5b74f77",NA,946,"8/10/2018","Article","",NA,NA,44,2,417,425,9,0.41,2,4,22,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1340","13400","2","Contreras, E. FranciscoCastaÒeda, L. O.Torres-Alvarado, R.GutiÈrrez, M. F.","Nutrientes en 39 lagunas costeras mexicanas","417-425","Query date: 2018-08-10",1996,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030202433&partnerID=40&md5=6215ac15dce92c565640ec9bc5b74f77","44Cited By (since 1996): 9",NA,NA,NA,"manual_download_spanish/340/21626-50699-1-SM.pdf"
"44",1,"F.I. Contreras, S.A. Contreras","The incidence of slope as a factor in the morphological distributions of the shallow lakes on sandy hills (Corrientes, Argentina) [La incidencia de la pendiente en la distribuciÛn de las morfologÌas de las lagunas sobre lomadas arenosas (Corrientes, Argentina)]",2017,"Anuario do Instituto de Geociencias",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019447860&doi=10.11137%2f2017_1_15_25&partnerID=40&md5=09bfe93fbca60fb42d7be0328a421b88",NA,44,"8/10/2018","Article","10.11137/2017_1_15_25",NA,NA,40,1,15,25,1,1,1,2,1,"spanish","in corpus","DOI present","spanish.enl","EndNote","118","118","2","Contreras, F. I.Contreras, S. A.","The incidence of slope as a factor in the morphological distributions of the shallow lakes on sandy hills (Corrientes, Argentina) [La incidencia de la pendiente en la distribuciÛn de las morfologÌas de las lagunas sobre lomadas arenosas (Corrientes, Argentina)]","15-25","Query date: 2018-08-10",2017,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019447860&doi=10.11137%2f2017_1_15_25&partnerID=40&md5=09bfe93fbca60fb42d7be0328a421b88internal-pdf://0854775205/Contreras-2017-The incidence of slope as a fac.pdf","40Cited By (since 2017): 1",NA,NA,"10.11137/2017_1_15_25","0854775205/Contreras-2017-The incidence of slope as a fac.pdf"
"485",6,"S. CÛrdova, H. Gaete, F. Ar·nguiz, R. Figueroa","Water quality assessment in the Limache stream (central Chile), using bioindicators and bioassays [EvaluaciÛn de la calidad de las aguas del estero Limache (Chile central), mediante bioindicadores y bioensayos]",2009,"Latin American Journal of Aquatic Research",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349327483&doi=10.3856%2fvol37-issue2-fulltext-7&partnerID=40&md5=97bdb3c8891aae11476b14d60b763583",NA,485,"8/10/2018","Article","10.3856/vol37-issue2-fulltext-7",NA,NA,37,2,199,209,6,0.67,2,4,9,"spanish","in corpus","DOI present","spanish.enl","EndNote","879","879","2","CÛrdova, S.Gaete, H.Ar·nguiz, F.Figueroa, R.","Water quality assessment in the Limache stream (central Chile), using bioindicators and bioassays [EvaluaciÛn de la calidad de las aguas del estero Limache (Chile central), mediante bioindicadores y bioensayos]","199-209","Query date: 2018-08-10",2009,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349327483&doi=10.3856%2fvol37-issue2-fulltext-7&partnerID=40&md5=97bdb3c8891aae11476b14d60b763583internal-pdf://1545525253/CÛrdova-2009-Water quality assessment in the L.pdf","37Cited By (since 2009): 6",NA,NA,"10.3856/vol37-issue2-fulltext-7","1545525253/CÛrdova-2009-Water quality assessment in the L.pdf"
"1223",0,"Luis Fermin Cordova-Lopez, Martha Fontova-de los Reyes","Analysis of storm waves in deep waters in the northwestern region of Cuba",2011,"TECNOLOGIA Y CIENCIAS DEL AGUA",NA,NA,NA,196,"8/10/2018","Journal article","",NA,NA,2,2,193,201,0,0,0,2,7,"spanish","in corpus","DOI absent","spanish.enl","EndNote","451","4510","17","Cordova-Lopez, Luis FerminReyes, Martha Fontova-de los","Analysis of storm waves in deep waters in the northwestern region of CubaTECNOLOGIA Y CIENCIAS DEL AGUA","193-201","2",2011,"NA","NA","NA",NA,"TECNOLOGIA Y CIENCIAS DEL AGUA","2",NA,"manual_download_spanish/343/v2n2a13.pdf"
"261",0,"L.F. CÛrdova-LÛpez, Y. S·nchez-Cruz, E. Castellano-Abella","Simulation of tsunamis on the banks of the island of Cuba, generated by landslides. Water Technology and Sciences [SimulaciÛn de tsunamis generados por deslizamientos de terreno en el talud insular de cuba]",2013,"Tecnologia y Ciencias del Agua",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902213013&partnerID=40&md5=4a09f3b8aba65c4291b8a6624c5c1d48",NA,261,"8/10/2018","Article","",NA,NA,4,5,19,32,0,0,0,3,5,"spanish","in corpus","DOI absent","spanish.enl","EndNote","580","5800","2","CÛrdova-LÛpez, L. F.S·nchez-Cruz, Y.Castellano-Abella, E.","Simulation of tsunamis on the banks of the island of Cuba, generated by landslides. Water Technology and Sciences [SimulaciÛn de tsunamis generados por deslizamientos de terreno en el talud insular de cuba]","19-32","Query date: 2018-08-10",2013,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902213013&partnerID=40&md5=4a09f3b8aba65c4291b8a6624c5c1d48","4",NA,NA,NA,"manual_download_spanish/344/v4n5a2.pdf"
"39",1,"A.M.J. Coronato, J.F. Ponce, D.R.A. Quiroga, C. Gogorza","Geological and geomorphological characterization of laguna carmen basin (Fuegian steppe, argentina) and its sedimentary record during the late holocene [caracterizaci”n geol”gica y geomorfol”gica de la cuenca de la laguna carmen (estepa fueguina, ar≠gentina) y su registro sedimentario durante el ho≠loceno tardio]",2017,"Revista de la Asociacion Geologica Argentina",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026477650&partnerID=40&md5=9ac61cc1d9087d51721decdf9436577f",NA,39,"8/10/2018","Article","",NA,NA,74,2,263,273,1,1,0,4,1,"spanish","in corpus","DOI absent","spanish.enl","EndNote","105","1050","2","Coronato, A. M. J.Ponce, J. F.Quiroga, D. R. A.Gogorza, C.","Geological and geomorphological characterization of laguna carmen basin (Fuegian steppe, argentina) and its sedimentary record during the late holocene [caracterizaci”n geol”gica y geomorfol”gica de la cuenca de la laguna carmen (estepa fueguina, ar≠gentina) y su registro sedimentario durante el ho≠loceno tardio]","263-273","Query date: 2018-08-10",2017,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026477650&partnerID=40&md5=9ac61cc1d9087d51721decdf9436577f","74Cited By (since 2017): 1",NA,NA,NA,"manual_download_spanish/345/CoronatoetalRAGA2017.pdf"
"236",1,"D.L.G. Correa, J.E. VÈlez-S·nchez, J.O.O. RodrÌguez","Influence of water deficit on growth and development of fruits valencia orange (Citrus sinensis Osbeck) in the piedmont of Meta department, Colombia [Efecto del dÈficit hÌdrico en el crecimiento y desarrollo de frutos de naranja Valencia (Citrus sinensis Osbeck) en el piedemonte del Meta, Colombia]",2013,"Acta Agronomica",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892745027&partnerID=40&md5=4ae5dd600e8abe81800badead68ccb9b",NA,236,"8/10/2018","Article","",NA,NA,62,2,136,147,1,0.2,0,3,5,"spanish","in corpus","DOI absent","spanish.enl","EndNote","530","5300","2","Correa, D. L. G.VÈlez-S·nchez, J. E.RodrÌguez, J. O. O.","Influence of water deficit on growth and development of fruits valencia orange (Citrus sinensis Osbeck) in the piedmont of Meta department, Colombia [Efecto del dÈficit hÌdrico en el crecimiento y desarrollo de frutos de naranja Valencia (Citrus sinensis Osbeck) en el piedemonte del Meta, Colombia]","136-147","Query date: 2018-08-10",2013,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892745027&partnerID=40&md5=4ae5dd600e8abe81800badead68ccb9b","62Cited By (since 2013): 1",NA,NA,NA,"manual_download_spanish/346/Efecto_del_deficit_hidrico_en_.pdf"
"399",5,"F. Correa-Araneda, R. Rivera, J. Urrutia, P. De Los RÌos, ¡. Contreras, F. Encina-Montoya","Effects of an urban zone on the benthonic macroinvertebrate community of a fluvial ecosystem in southern Chile [Efectosdeunazonaurbana sobre la comunidad de macroinvertebrados bentÛnicos de un ecosistema fluvial del sur de Chile]",2010,"Limnetica",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952055028&partnerID=40&md5=d69133736374449aef76391da2c9642c",NA,399,"8/10/2018","Article","",NA,NA,29,2,183,194,5,0.63,1,6,8,"spanish","absent from corpus","DOI absent","spanish.enl","EndNote","793","7930","2","Correa-Araneda, F.Rivera, R.Urrutia, J.RÌos, P. De LosContreras, ¡Encina-Montoya, F.","Effects of an urban zone on the benthonic macroinvertebrate community of a fluvial ecosystem in southern Chile [Efectosdeunazonaurbana sobre la comunidad de macroinvertebrados bentÛnicos de un ecosistema fluvial del sur de Chile]","183-194","Query date: 2018-08-10",2010,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952055028&partnerID=40&md5=d69133736374449aef76391da2c9642c","29Cited By (since 2010): 5",NA,NA,NA,NA
"104",0,"A. Correia, L. Marcano","Evaluation of income routes of domestic pharmaceutical compounds to enter the environment. Case study: Municipality of Valencia, Carabobo State, Venezuela [EvaluaciÛn de las rutas de entrada de compuestos farmacÈuticos de uso domÈstico al ambiente caso estudio: Municipio Valencia, Estado Carabobo, Venezuela]",2016,"Revista Internacional de Contaminacion Ambiental",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976863764&partnerID=40&md5=de6d98bce621b54630a0ad852d5522ce",NA,104,"8/10/2018","Article","",NA,NA,32,1,77,86,0,0,0,2,2,"spanish","in corpus","DOI absent","spanish.enl","EndNote","254","2540","2","Correia, A.Marcano, L.","Evaluation of income routes of domestic pharmaceutical compounds to enter the environment. Case study: Municipality of Valencia, Carabobo State, Venezuela [EvaluaciÛn de las rutas de entrada de compuestos farmacÈuticos de uso domÈstico al ambiente caso estudio: Municipio Valencia, Estado Carabobo, Venezuela]","77-86","Query date: 2018-08-10",2016,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976863764&partnerID=40&md5=de6d98bce621b54630a0ad852d5522ce","32",NA,NA,NA,"manual_download_spanish/348/0188-4999-rica-32-01-00077.pdf"
"999",6,"A. Cortes, R.D. Arizabalo, R. Rocha","Study of geochemistry and isotopes in springs of the Mexican Basin [Estudio hidrogeoquimico isotopico de manantiales en la Cuenca de Mexico]",1989,"Geofisica Internacional",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024782577&partnerID=40&md5=15b48b47ca04eb1e5e265e7f033c9656",NA,999,"8/10/2018","Article","",NA,NA,28,2,265,282,6,0.21,2,3,29,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1393","13930","2","Cortes, A.Arizabalo, R. D.Rocha, R.","Study of geochemistry and isotopes in springs of the Mexican Basin [Estudio hidrogeoquimico isotopico de manantiales en la Cuenca de Mexico]","265-282","Query date: 2018-08-10",1989,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024782577&partnerID=40&md5=15b48b47ca04eb1e5e265e7f033c9656","28Cited By (since 1989): 6",NA,NA,NA,"manual_download_spanish/349/1031-1012-1-PB.pdf"
"997",2,"A. Cortes, L.R. Jaimes, R.N. Farvolden","Hydrological isotope study on the influence of storm water on natural groundwater recharge in the Monte Alto range [Hidrologia isotopica de la influencia de una tormenta en la descarga natural del agua subterranea en la Sierra de Monte Alto]",1989,"Geofisica Internacional",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024815504&partnerID=40&md5=ce49bd836cbabf98d905dbbf7e4375ae",NA,997,"8/10/2018","Article","",NA,NA,28,2,435,449,2,0.07,1,3,29,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1391","13910","2","Cortes, A.Jaimes, L. R.Farvolden, R. N.","Hydrological isotope study on the influence of storm water on natural groundwater recharge in the Monte Alto range [Hidrologia isotopica de la influencia de una tormenta en la descarga natural del agua subterranea en la Sierra de Monte Alto]","435-449","Query date: 2018-08-10",1989,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024815504&partnerID=40&md5=ce49bd836cbabf98d905dbbf7e4375ae","28Cited By (since 1989): 2",NA,NA,NA,"manual_download_spanish/350/1038-1019-1-PB.pdf"
"1349",3,"FIA Cortes, AM Dominguez","Water desalination.",2000,"INGENIERIA HIDRAULICA EN MEXICO",NA,NA,NA,322,"8/10/2018","Journal article","",NA,NA,15,1,27,49,3,0.17,2,2,18,"spanish","absent from corpus","DOI absent","spanish.enl","EndNote","702","7020","17","Cortes, F. I. A.Dominguez, A. M.","Water desalinationINGENIERIA HIDRAULICA EN MEXICO","27-49","1",2000,"NA","NA","NA","Cited By (since 2000): 3","INGENIERIA HIDRAULICA EN MEXICO","15",NA,NA
"908",5,"F.I.A. Cortes, A.M. Dominguez","Water desalination [Desalinizacion del agua]",2000,"Ingenieria Hidraulica en Mexico",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034013117&partnerID=40&md5=19b57ba56d32501c0680c00dfbf55615",NA,908,"8/10/2018","Article","",NA,NA,15,1,27,49,5,0.28,3,2,18,"spanish","absent from corpus","DOI absent","spanish.enl","EndNote","1302","13020","2","Cortes, F. I. A.Dominguez, A. M.","Water desalination [Desalinizacion del agua]","27-49","Query date: 2018-08-10",2000,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034013117&partnerID=40&md5=19b57ba56d32501c0680c00dfbf55615","15Cited By (since 2000): 5",NA,NA,NA,NA
"1307",0,"GS Cortes, A Lopez","Real-time estimation of local variations in bottom roughness in shallow water flows. Hydraulic engineering in Mexico",2003,"INGENIERIA HIDRAULICA EN MEXICO",NA,NA,NA,280,"8/10/2018","Journal article","",NA,NA,18,4,21,30,0,0,0,2,15,"spanish","absent from corpus","DOI absent","spanish.enl","EndNote","619","6190","17","Cortes, G. S.Lopez, A.","Real-time estimation of local variations in bottom roughness in shallow water flows. Hydraulic engineering in MexicoINGENIERIA HIDRAULICA EN MEXICO","21-30","4",2003,"NA","NA","NA",NA,"INGENIERIA HIDRAULICA EN MEXICO","18",NA,NA
"987",4,"V. GarcÌa CortÈs, F. AntillÛn","Isolation of enteropathogenic Vibrio in bivalves and mud from the Nicoya Gulf, Costa Rica [Aislamiento de vibrios enteropatÛgenos de bivalvos y cieno del Golfo de Nicoya, Costa Rica.]",1990,"Revista de biologia tropical",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025509147&partnerID=40&md5=b669759ec4584c33d9b1b51fa46bc309",NA,987,"8/10/2018","Article","",NA,NA,38,2,437,440,4,0.14,2,2,28,"spanish","in corpus","DOI absent","spanish.enl","EndNote","1381","13810","2","CortÈs, V. GarcÌaAntillÛn, F.","Isolation of enteropathogenic Vibrio in bivalves and mud from the Nicoya Gulf, Costa Rica [Aislamiento de vibrios enteropatÛgenos de bivalvos y cieno del Golfo de Nicoya, Costa Rica.]","437-440","Query date: 2018-08-10",1990,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025509147&partnerID=40&md5=b669759ec4584c33d9b1b51fa46bc309","38Cited By (since 1990): 4",NA,NA,NA,"manual_download_spanish/354/25442-65232-1-SM.pdf"
"1126",1,"Facundo Cortes-Martinez, Alejandro Trevino-Cansino, Maria Aracelia Alcorta-Garcia, Agustin Saenz-Lopez, Jose Luis Gonzalez-Barrios","Design Optimization for Stabilization Ponds Using Non-Linear Programming",2015,"TECNOLOGIA Y CIENCIAS DEL AGUA",NA,NA,NA,99,"8/10/2018","Journal article","",NA,NA,6,2,85,100,1,0.33,0,5,3,"spanish","in corpus","DOI absent","spanish.enl","EndNote","241","2410","17","Cortes-Martinez, FacundoTrevino-Cansino, AlejandroAlcorta-Garcia, Maria AraceliaSaenz-Lopez, AgustinGonzalez-Barrios, Jose Luis","Design Optimization for Stabilization Ponds Using Non-Linear ProgrammingTECNOLOGIA Y CIENCIAS DEL AGUA","85-100","2",2015,"NA","NA","NA","Cited By (since 2015): 1","TECNOLOGIA Y CIENCIAS DEL AGUA","6",NA,"manual_download_spanish/355/v6n2a6.pdf"
"112",0,"V.R.N. Cosentino, L. NoemÌ Brutti, G. Civeira, M.¡. Taboada","Contribution of biological nitrogen fixation to N<inf>2</inf>O emission from soil under soybean [Aporte de la fijaciÛn biolÛgica de nitrÛgeno a la emisiÛn de N<inf>2</inf>O desde el suelo con cultivo de soja]",2015,"Ciencia del Suelo",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989211010&partnerID=40&md5=c982f7c53d7e3d3ed551980a50563fb2",NA,112,"8/10/2018","Article","",NA,NA,33,2,313,321,0,0,0,4,3,"spanish","absent from corpus","DOI absent","spanish.enl","EndNote","274","2740","2","Cosentino, V. R. N.Brutti, L. NoemÌCiveira, G.Taboada, M. ¡","Contribution of biological nitrogen fixation to N<inf>2</inf>O emission from soil under soybean [Aporte de la fijaciÛn biolÛgica de nitrÛgeno a la emisiÛn de N<inf>2</inf>O desde el suelo con cultivo de soja]","313-321","Query date: 2018-08-10",2015,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989211010&partnerID=40&md5=c982f7c53d7e3d3ed551980a50563fb2","33",NA,NA,NA,NA
"410",7,"A. Crespi-Abril, F. Dellatorre, P. BarÛn","On the presence of Illex argentinus (Castellanos, 1960) (Cephalopoda: Ommastrephidae), paralarvae and juveniles in near-shore waters of Nuevo Gulf, Argentina [Presencia de paralarvas y juveniles de Illex argentinus (Castellanos, 1960) (Cephalopoda: Ommastrephidae) en aguas costeras del golfo Nuevo, Argentina]",2010,"Latin American Journal of Aquatic Research",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957661932&doi=10.3856%2fvol38-issue2-fulltext-17&partnerID=40&md5=9d6c2117681a8d42c12a4a27b84d1ee7",NA,410,"8/10/2018","Article","10.3856/vol38-issue2-fulltext-17",NA,NA,38,2,297,301,7,0.88,2,3,8,"spanish","in corpus","DOI present","spanish.enl","EndNote","804","804","2","Crespi-Abril, A.Dellatorre, F.BarÛn, P.","On the presence of Illex argentinus (Castellanos, 1960) (Cephalopoda: Ommastrephidae), paralarvae and juveniles in near-shore waters of Nuevo Gulf, Argentina [Presencia de paralarvas y juveniles de Illex argentinus (Castellanos, 1960) (Cephalopoda: Ommastrephidae) en aguas costeras del golfo Nuevo, Argentina]","297-301","Query date: 2018-08-10",2010,"NA","NA","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957661932&doi=10.3856%2fvol38-issue2-fulltext-17&partnerID=40&md5=9d6c2117681a8d42c12a4a27b84d1ee7internal-pdf://1826520065/Crespi-Abril-2010-On the presence of Illex arg.pdf","38Cited By (since 2010): 7",NA,NA,"10.3856/vol38-issue2-fulltext-17","1826520065/Crespi-Abril-2010-On the presence of Illex arg.pdf"
